Flight Call,,,,,No,No,Yes,Yes,All
Locality,,,,,CHI,MP,CHI,MP,
Stratum,Habitat,Family,Genus,Species,,,,,
Lower,Edge,Icteriidae,Icteria,Virens,4,11,0,0,15
Lower,Edge,Mimidae,Dumetella,Carolinensis,278,321,0,0,599
Lower,Edge,Mimidae,Toxostoma,Rufum,104,62,0,0,166
Lower,Edge,Parulidae,Cardellina,Pusilla,0,0,127,58,185
Lower,Edge,Parulidae,Geothlypis,Philadelphia,0,0,195,235,430
Lower,Edge,Parulidae,Oreothlypis,Celata,0,0,118,109,227
Lower,Edge,Parulidae,Setophaga,Palmarum,0,0,346,348,694
Lower,Edge,Passerellidae,Junco,Hyemalis,0,0,2019,4284,6303
Lower,Edge,Passerellidae,Melospiza,Lincolnii,0,0,719,1310,2029
Lower,Edge,Passerellidae,Melospiza,Melodia,0,0,322,4802,5124
Lower,Edge,Passerellidae,Passerella,Iliaca,0,0,797,1646,2443
Lower,Edge,Passerellidae,Pipilo,Erythrophthalmus,0,0,22,60,82
Lower,Edge,Passerellidae,Spizella,Passerina,0,0,22,46,68
Lower,Edge,Passerellidae,Spizelloides,Arborea,0,0,112,1150,1262
Lower,Edge,Passerellidae,Zonotrichia,Leucophrys,0,0,329,761,1090
Lower,Edge,Passerellidae,Zonotrichia,Querula,0,0,0,2,2
Lower,Edge,Troglodytidae,Troglodytes,Aedon,62,42,0,0,104
Lower,Forest,Parulidae,Cardellina,Canadensis,0,0,142,99,241
Lower,Forest,Parulidae,Geothlypis,Formosa,0,0,7,9,16
Lower,Forest,Parulidae,Oporornis,Agilis,0,0,173,192,365
Lower,Forest,Parulidae,Parkesia,Motacilla,0,0,6,9,15
Lower,Forest,Parulidae,Parkesia,Noveboracensis,0,0,409,507,916
Lower,Forest,Parulidae,Seiurus,Aurocapilla,0,0,3055,1525,4580
Lower,Forest,Passerellidae,Zonotrichia,Albicollis,0,0,6508,3625,10133
Lower,Forest,Troglodytidae,Troglodytes,Hiemalis,342,132,0,0,474
Lower,Forest,Turdidae,Catharus,Fuscescens,0,0,164,563,727
Lower,Forest,Turdidae,Catharus,Guttatus,0,0,1941,1788,3729
Lower,Forest,Turdidae,Catharus,Minimus,0,0,412,410,822
Lower,Forest,Turdidae,Catharus,Ustulatus,0,0,1402,929,2331
Lower,Forest,Turdidae,Hylocichla,Mustelina,0,0,286,214,500
Lower,Open,Icteridae,Sturnella,Magna,0,0,7,6,13
Lower,Open,Parulidae,Geothlypis,Trichas,0,0,686,869,1555
Lower,Open,Passerellidae,Melospiza,Georgiana,0,0,865,4045,4910
Lower,Open,Passerellidae,Spizella,Pusilla,0,0,30,295,325
Lower,Open,Passerellidae,Spizella,Pallida,0,0,14,36,50
Lower,Open,Passerellidae,Ammodramus,Savannarum,0,0,22,84,106
Lower,Open,Passerellidae,Passerculus,Sandwichensis,0,0,24,250,274
Lower,Open,Passerellidae,Pooecetes,Gramineus,0,0,0,10,10
Lower,Open,Troglodytidae,Cistothorus,Palustris,37,54,0,0,91
Lower,Open,Troglodytidae,Cistothorus,Platensis,28,32,0,0,60
Upper,Edge,Cardinalidae,Passerina,Caerulea,0,0,0,1,1
Upper,Edge,Cardinalidae,Passerina,Cyanea,0,0,248,477,725
Upper,Edge,Icteridae,Icterus,Galbula,0,0,58,25,83
Upper,Edge,Icteridae,Icterus,Spurius,0,0,2,4,6
